roc_auc,f1,precision,recall,ap,fold,configuration_name
0.9280927835051547,0.8910891089108911,0.8571428571428571,0.9278350515463918,0.9700443217593695,1,heuristic_baseline
0.9628865979381442,0.9285714285714286,0.9191919191919192,0.9381443298969072,0.9864992309105503,2,heuristic_baseline
0.9370869680148031,0.9117647058823529,0.8691588785046729,0.9587628865979382,0.9753212655866549,3,heuristic_baseline
0.9236979166666667,0.9081632653061225,0.89,0.9270833333333334,0.9717118538438061,4,heuristic_baseline
0.9229166666666666,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.9624365524836916,5,heuristic_baseline
0.9010309278350515,0.9090909090909091,0.8910891089108911,0.9278350515463918,0.9533572061688786,1,uniform_weights
0.9365979381443299,0.8979591836734694,0.8888888888888888,0.9072164948453608,0.9771336982545183,2,uniform_weights
0.930214115781126,0.9054726368159204,0.875,0.9381443298969072,0.9747487586465813,3,uniform_weights
0.8752604166666667,0.8586387434554974,0.8631578947368421,0.8541666666666666,0.9406196976165961,4,uniform_weights
0.89296875,0.8823529411764706,0.8333333333333334,0.9375,0.9558282755193171,5,uniform_weights
0.9131443298969072,0.8878048780487805,0.8425925925925926,0.9381443298969072,0.956925619581872,1,all_weights_minus_10
0.9324742268041237,0.9154228855721394,0.8846153846153846,0.9484536082474226,0.9702705480387622,2,all_weights_minus_10
0.9310071371927042,0.8811881188118812,0.8476190476190476,0.9175257731958762,0.9736951279959439,3,all_weights_minus_10
0.9223958333333333,0.8865979381443299,0.8775510204081632,0.8958333333333334,0.9689600290753931,4,all_weights_minus_10
0.9424479166666666,0.900990099009901,0.8584905660377359,0.9479166666666666,0.976525622760116,5,all_weights_minus_10
0.9559278350515464,0.9154228855721394,0.8846153846153846,0.9484536082474226,0.9833300191401855,1,all_weights_plus_10
0.9443298969072165,0.9128205128205128,0.9081632653061225,0.9175257731958762,0.977047832288936,2,all_weights_plus_10
0.9328575204863865,0.900990099009901,0.8666666666666667,0.9381443298969072,0.9732391056314922,3,all_weights_plus_10
0.91171875,0.8775510204081632,0.86,0.8958333333333334,0.9652520622444407,4,all_weights_plus_10
0.9447916666666667,0.9054726368159204,0.8666666666666667,0.9479166666666666,0.9786431462123152,5,all_weights_plus_10
0.9131443298969072,0.8942307692307693,0.8378378378378378,0.9587628865979382,0.9628901737612654,1,all_weights_minus_20
0.968556701030928,0.9387755102040817,0.9292929292929293,0.9484536082474226,0.9877452770789136,2,all_weights_minus_20
0.9098598995506212,0.8844221105527639,0.8627450980392157,0.9072164948453608,0.9639012444624009,3,all_weights_minus_20
0.9067708333333334,0.9015544041450777,0.8969072164948454,0.90625,0.9542387094738377,4,all_weights_minus_20
0.9479166666666666,0.94,0.9038461538461539,0.9791666666666666,0.9762086206531768,5,all_weights_minus_20
0.9556701030927836,0.8878048780487805,0.8425925925925926,0.9381443298969072,0.984027007306092,1,all_weights_plus_20
0.9342783505154639,0.91,0.883495145631068,0.9381443298969072,0.9748873690706106,2,all_weights_plus_20
0.9423737774253238,0.9025641025641026,0.8979591836734694,0.9072164948453608,0.9785856414738677,3,all_weights_plus_20
0.92890625,0.9015544041450777,0.8969072164948454,0.90625,0.9729407255887561,4,all_weights_plus_20
0.9408854166666667,0.9019607843137255,0.8518518518518519,0.9583333333333334,0.9762156304966889,5,all_weights_plus_20
0.9469072164948453,0.9117647058823529,0.8691588785046729,0.9587628865979382,0.9784110724693097,1,neutral_similarity_family
0.9595360824742268,0.9207920792079208,0.8857142857142857,0.9587628865979382,0.9842099112162441,2,neutral_similarity_family
0.9336505418979645,0.9117647058823529,0.8691588785046729,0.9587628865979382,0.9738742734669933,3,neutral_similarity_family
0.9330729166666667,0.9191919191919192,0.8921568627450981,0.9479166666666666,0.9685176873266294,4,neutral_similarity_family
0.9572916666666667,0.9313725490196079,0.8796296296296297,0.9895833333333334,0.9811572119077567,5,neutral_similarity_family
0.931958762886598,0.8866995073891626,0.8490566037735849,0.9278350515463918,0.9739986410464738,1,neutral_demographic_risk_weights
0.9347938144329897,0.9029126213592233,0.8532110091743119,0.9587628865979382,0.9755900100066324,2,neutral_demographic_risk_weights
0.9397303727200634,0.9278350515463918,0.9278350515463918,0.9278350515463918,0.977650913035442,3,neutral_demographic_risk_weights
0.9515625,0.9238578680203046,0.900990099009901,0.9479166666666666,0.9773793483756739,4,neutral_demographic_risk_weights
0.9296875,0.9052631578947369,0.9148936170212766,0.8958333333333334,0.9713486845108916,5,neutral_demographic_risk_weights
